repo,origin,default_branch,stargazers_count,forks_count,updated_days_ago,pushed_days_ago,created_days_ago
aa-development-uk/GraphQL-Mongo-Java,com.graphql-java+graphiql-spring-boot-starter-filename:pom.xml & com.graphql-java-kickstart+graphql-spring-boot-starter-filename:pom.xml & com.graphql-java+graphql-spring-boot-starter-filename:pom.xml & com.graphql-java-kickstart+graphql-filename:pom.xml & com.graphql-java-kickstart+graphql-java-tools-filename:pom.xml & com.graphql-java-kickstart+graphiql-spring-boot-starter-filename:pom.xml & graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-tools-filename:pom.xml & com.graphql-java+graphql-java-filename:pom.xml,master,0,0,3,3,3
aaazqsde/FullStackExample,com.graphql-java+graphiql-spring-boot-starter-filename:pom.xml & com.graphql-java+graphql-spring-boot-starter-filename:pom.xml & graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-tools-filename:pom.xml & com.graphql-java+graphql-java-filename:pom.xml,master,0,0,159,159,159
aagarwal1012/Claim-It,com.apollographql.apollo+apollo-extension:gradle & com.apollographql.apollo+apollo-runtime-extension:gradle,master,1,0,71,73,75
aagarwal1012/Debug-Thugs,com.apollographql.apollo+apollo-extension:gradle & com.apollographql.apollo+apollo-runtime-extension:gradle,final_product,4,3,14,14,247
abazlinton/graphql-test,com.graphql-java-kickstart+graphiql-spring-boot-starter-extension:gradle & com.graphql-java-kickstart+graphql-spring-boot-starter-extension:gradle & com.graphql-java-kickstart+graphql-spring-boot-starter-test-extension:gradle & com.graphql-java-kickstart+graphql-java-tools-extension:gradle & com.graphql-java-kickstart+voyager-spring-boot-starter-extension:gradle & com.graphql-java-kickstart+graphql-extension:gradle,master,0,0,202,202,202
abcdbank/smokefree,com.graphql-java-kickstart+graphql-java-tools-filename:pom.xml & com.zhokhov.graphql+datetime-filename:pom.xml & com.graphql-java-kickstart+graphql-filename:pom.xml & com.zhokhov.graphql+graphql-java-datetime-filename:pom.xml,master,0,0,79,79,79
Abdulkadir98/MeetingsApp,com.amazonaws+aws-android-sdk-appsync-gradle-plugin-extension:gradle,master,0,0,46,75,75
abetd/sandbox,com.graphql-java+graphql-java-tools-extension:gradle & com.graphql-java-kickstart+graphiql-spring-boot-starter-extension:gradle & com.graphql-java+graphql-java-extension:gradle & graphql-java+graphql-java-extension:gradle & com.graphql-java-kickstart+graphql-spring-boot-starter-extension:gradle & com.graphql-java+graphql-spring-boot-starter-extension:gradle & com.graphql-java+graphiql-spring-boot-starter-extension:gradle & com.graphql-java-kickstart+graphql-extension:gradle,master,0,0,16,16,283
abhakthan/javagql,com.graphql-java-kickstart+graphql-spring-boot-starter-filename:pom.xml & com.graphql-java-kickstart+graphiql-spring-boot-starter-filename:pom.xml & com.graphql-java-kickstart+graphql-filename:pom.xml,master,0,0,130,130,131
abhijithtn/jmeshtru,com.graphql-java+graphql-java-extension:gradle & graphql-java+graphql-java-extension:gradle,master,0,0,84,84,975
Abhilaksh-Sharma/GraphQL-Resolver,com.graphql-java+graphiql-spring-boot-starter-filename:pom.xml & com.graphql-java+graphql-spring-boot-starter-filename:pom.xml & graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-tools-filename:pom.xml & com.graphql-java+graphql-java-filename:pom.xml,master,0,0,22,22,22
Abhilaksh-Sharma/GraphQL_DataFetcher,com.graphql-java+graphiql-spring-boot-starter-filename:pom.xml & com.graphql-java+graphql-spring-boot-starter-filename:pom.xml & graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-tools-filename:pom.xml & com.graphql-java+graphql-java-filename:pom.xml,master,0,0,22,22,22
Abhilaksh-Sharma/GraphQL_Servlet-Resolver,com.graphql-java+graphiql-spring-boot-starter-filename:pom.xml & com.graphql-java+graphql-spring-boot-starter-filename:pom.xml & graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-tools-filename:pom.xml & com.graphql-java+graphql-java-filename:pom.xml,master,0,0,22,22,22
Abhilaksh-Sharma/GraphQL_SPQR,com.graphql-java+graphiql-spring-boot-starter-filename:pom.xml & io.leangen.graphql+graphql-spqr-spring-boot-starter-filename:pom.xml & graphql-java+graphql-java-filename:pom.xml & io.leangen.graphql+spqr-filename:pom.xml & com.graphql-java+graphql-java-filename:pom.xml,master,0,0,22,22,22
Abhilaksh-Sharma/Spring-Boot-Rest-GraphQL-,com.graphql-java+graphiql-spring-boot-starter-filename:pom.xml & io.leangen.graphql+graphql-spqr-spring-boot-starter-filename:pom.xml & graphql-java+graphql-java-filename:pom.xml & io.leangen.graphql+spqr-filename:pom.xml & com.graphql-java+graphql-java-filename:pom.xml,master,0,0,22,22,22
abhinav-jain09/AzureFuctionSpringBootGraphQL,graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-tools-filename:pom.xml & com.graphql-java+graphql-spring-boot-starter-filename:pom.xml,master,0,0,22,22,22
AbhinavA1990/capture,com.graphql-java+graphiql-spring-boot-starter-filename:pom.xml & com.graphql-java+graphql-spring-boot-starter-filename:pom.xml & graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-tools-filename:pom.xml & com.graphql-java+graphql-java-filename:pom.xml,master,0,2,492,451,492
Abhinavlamba/StudentsGo,com.apollographql.apollo+apollo-extension:gradle & com.apollographql.android+gradle-plugin-extension:gradle,master,0,1,94,94,94
abhinayjs/graphql-java,com.graphql-java-kickstart+graphql-java-servlet-extension:gradle & com.graphql-java+graphql-java-tools-extension:gradle & com.graphql-java-kickstart+graphiql-spring-boot-starter-extension:gradle & com.graphql-java+graphql-java-extension:gradle & graphql-java+graphql-java-extension:gradle & com.graphql-java-kickstart+graphql-spring-boot-starter-extension:gradle & com.graphql-java+graphql-spring-boot-starter-extension:gradle & com.graphql-java+graphql-java-servlet-extension:gradle & com.graphql-java-kickstart+graphql-java-tools-extension:gradle & com.graphql-java+graphiql-spring-boot-starter-extension:gradle & com.graphql-java-kickstart+graphql-extension:gradle,master,0,0,127,127,146
abhirocks1211/FastHub,com.apollographql.apollo+apollo-extension:gradle & com.apollographql.android+gradle-plugin-extension:gradle & com.apollographql.apollo+apollo-rx2-support-extension:gradle,master,0,0,470,470,470
AbhishekKadam11/newTechServer2,com.graphql-java+graphiql-spring-boot-starter-filename:pom.xml & com.graphql-java+graphql-spring-boot-starter-filename:pom.xml & graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-servlet-filename:pom.xml & com.graphql-java+graphql-java-tools-filename:pom.xml & com.graphql-java+graphql-java-filename:pom.xml,master,1,0,23,23,351
abhisheknjoshi/wsngrapediseaseanalysis,grape+grape-filename:pom.xml,master,0,0,318,318,318
abner/maven-jruby-app,grape+grape-filename:pom.xml,master,0,0,1483,1483,1483
abondar24/SpringGraphQL,com.graphql-java+graphiql-spring-boot-starter-filename:pom.xml & com.graphql-java+graphql-spring-boot-starter-filename:pom.xml & com.coxautodev+graphql-filename:pom.xml & com.apollographql.apollo+apollo-filename:pom.xml & com.coxautodev+apollo-client-maven-plugin-filename:pom.xml & graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-servlet-filename:pom.xml & com.graphql-java+graphql-java-tools-filename:pom.xml & com.apollographql.apollo+apollo-runtime-filename:pom.xml & com.graphql-java+graphql-java-filename:pom.xml,master,0,0,275,275,277
AbrahamAlarcon/datastore,com.graphql-java+graphiql-spring-boot-starter-filename:pom.xml & com.graphql-java+graphql-spring-boot-starter-filename:pom.xml & graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-tools-filename:pom.xml & com.graphql-java+graphql-java-filename:pom.xml,master,0,0,531,531,539
AbrahamAlarcon/datastream,com.graphql-java+graphiql-spring-boot-starter-filename:pom.xml & com.graphql-java+graphql-spring-boot-starter-filename:pom.xml & graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-tools-filename:pom.xml & com.graphql-java+graphql-java-filename:pom.xml,master,0,0,526,496,526
absreim/bookmarks-graphql,com.graphql-java+graphql-java-tools-extension:gradle & com.graphql-java+graphql-java-extension:gradle & graphql-java+graphql-java-extension:gradle & com.graphql-java+graphql-spring-boot-starter-extension:gradle & com.graphql-java+graphiql-spring-boot-starter-extension:gradle,master,0,0,443,443,446
absurdfarce/cassandra-driver-graphql,com.graphql-java+graphql-java-extension:gradle & graphql-java+graphql-java-extension:gradle,master,0,0,121,111,151
achimwinter/java-graphql,graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-filename:pom.xml,master,0,0,150,150,150
acroutworst/community-android,com.graphql-java+graphql-java-extension:gradle & graphql-java+graphql-java-extension:gradle,master,1,0,325,817,890
ACSokoba/Github-Statistics,com.coxautodev+graphql-java-tools-filename:pom.xml & com.coxautodev+graphql-filename:pom.xml & graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-servlet-filename:pom.xml & com.graphql-java+graphql-java-tools-filename:pom.xml & com.graphql-java+graphql-java-filename:pom.xml,master,0,0,98,98,98
Activiti/activiti-cloud-notifications-graphql,org.activiti.cloud.examples+activiti-cloud-notifications-graphql-filename:pom.xml & org.activiti.cloud.notifications.graphql+activiti-cloud-starter-notifications-graphql-filename:pom.xml,master,0,3,1,1,160
Activiti/activiti-cloud-notifications-service-graphql,org.activiti.cloud.notifications.graphql+activiti-cloud-services-notifications-graphql-filename:pom.xml & com.introproventures+graphql-jpa-query-dependencies-filename:pom.xml & org.activiti.cloud.notifications.graphql+activiti-cloud-services-notifications-graphql-graphiql-filename:pom.xml & org.activiti.cloud.notifications.graphql+activiti-cloud-services-notifications-graphql-security-filename:pom.xml & org.activiti.cloud.notifications.graphql+activiti-cloud-services-notifications-graphql-events-filename:pom.xml & org.activiti.cloud.notifications.graphql+activiti-cloud-notifications-graphql-dependencies-filename:pom.xml & org.activiti.cloud.notifications.graphql+activiti-cloud-notifications-service-graphql-parent-filename:pom.xml & org.activiti.cloud.notifications.graphql+activiti-cloud-services-notifications-graphql-jpa-query-filename:pom.xml & org.activiti.cloud.notifications.graphql+activiti-cloud-services-notifications-graphql-subscriptions-filename:pom.xml & org.activiti.cloud.notifications.graphql+activiti-cloud-services-notifications-graphql-ws-filename:pom.xml & graphql-java+graphql-java-filename:pom.xml & org.activiti.cloud.notifications.graphql+activiti-cloud-services-notifications-graphql-schema-filename:pom.xml & org.activiti.cloud.notifications.graphql+activiti-cloud-services-notifications-graphql-api-filename:pom.xml & com.introproventures+graphql-jpa-query-filename:pom.xml & com.introproventures+graphql-jpa-query-schema-filename:pom.xml & org.activiti.cloud.notifications.graphql+activiti-cloud-starter-notifications-graphql-filename:pom.xml & org.activiti.cloud.notifications.graphql+activiti-cloud-services-notifications-graphql-web-filename:pom.xml & com.graphql-java+graphql-java-filename:pom.xml,develop,0,3,1,1,160
Activiti/activiti-cloud-query-elasticsearch,org.activiti.cloud+activiti-cloud-services-query-graphql-ws-filename:pom.xml & org.activiti.cloud+activiti-cloud-services-query-graphql-filename:pom.xml,develop,2,1,206,195,577
