repo,origin,default_branch,stargazers_count,forks_count,updated_days_ago,pushed_days_ago,created_days_ago
292388900/guke,org.neo4j+neo4j-filename:pom.xml,master,0,0,951,833,951
2beens/next-gen-ideal,org.neo4j+neo4j-filename:pom.xml & org.neo4j+cypher-filename:pom.xml,master,1,0,797,797,2753
3013218061/SpringiA4_SourceCode,org.neo4j+neo4j-extension:gradle,master,0,0,699,695,699
3457soso/study-spring-framework,org.neo4j+neo4j-filename:pom.xml,master,2,0,4,4,163
3620849/DELLEMC,org.neo4j+neo4j-filename:pom.xml,master,0,0,647,632,647
37point2/Optic,org.neo4j+neo4j-filename:pom.xml,master,0,0,1801,1801,1906
3olanin/optimal_match,org.neo4j+neo4j-filename:pom.xml,master,0,0,317,317,317
3RiverDevelopment/metadata-repo,org.neo4j+neo4j-filename:pom.xml,master,0,0,1088,978,1122
408043749/Projects,org.neo4j+neo4j-filename:pom.xml,master,0,0,913,913,1595
411824354/FIT5171_A3_14,org.neo4j+neo4j-filename:pom.xml,master,0,0,17,17,22
411824354/FIT5171_S1_2019_A2_14,org.neo4j+neo4j-filename:pom.xml,master,0,0,22,22,51
452701513/neo4j-demo,org.neo4j+neo4j-extension:gradle,master,0,0,13,13,15
460R4/460R4-java,org.neo4j+neo4j-filename:pom.xml,master,0,0,289,289,289
4x0l0tl/augury,org.neo4j+neo4j-filename:pom.xml,master,0,1,560,560,561
502304621/predixreporting,org.neo4j+neo4j-filename:pom.xml & org.neo4j+neo4j-cypher-filename:pom.xml & org.neo4j+cypher-filename:pom.xml,master,0,0,1057,1057,1058
505aaron/tutorials2,org.neo4j+neo4j-filename:pom.xml,master,0,0,289,289,289
514840279/danyuan-application,org.neo4j+neo4j-filename:pom.xml,A0.0.1-SNAPSHOT,42,24,14,14,721
514840279/danyuan-dbmanager,org.neo4j+neo4j-filename:pom.xml,master,0,0,439,439,447
541015399/alphaBear,org.neo4j+neo4j-filename:pom.xml,master,0,0,558,558,558
582496630/SpringBoot-Test,org.neo4j+neo4j-filename:pom.xml & org.neo4j+cypher-filename:pom.xml,master,0,0,506,467,506
583479389/image-retrieval,org.neo4j+neo4j-extension:gradle,master,0,0,349,349,382
