repo,origin,default_branch,stargazers_count,forks_count,updated_days_ago,pushed_days_ago,created_days_ago
akshayar/titan-janus-migration,org.apache.tinkerpop+gremlin-server-extension:gradle & org.apache.tinkerpop+gremlin-extension:gradle & com.tinkerpop+gremlin-server-filename:pom.xml & com.tinkerpop+gremlin-extension:gradle & org.apache.tinkerpop+gremlin-server-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & com.tinkerpop+gremlin-server-extension:gradle & com.tinkerpop.gremlin+gremlin-extension:gradle,master,0,0,775,775,775
AkshayGudi/GremlinPOC,com.tinkerpop+gremlin-driver-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-driver-filename:pom.xml,master,0,0,93,93,93
alacambra/datacrunch,com.tinkerpop.gremlin+gremlin-java-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml,master,0,0,629,1875,1875
AlexanderIvanof/sample-project,org.apache.tinkerpop+gremlin-extension:gradle & org.apache.tinkerpop+gremlin-core-extension:gradle & com.tinkerpop+gremlin-core-extension:gradle & com.tinkerpop+gremlin-extension:gradle & com.tinkerpop.gremlin+gremlin-extension:gradle,master,0,0,762,712,779
AlexanderMelnichukAurea/codegraph-examples,com.tinkerpop.gremlin+gremlin-groovy-filename:pom.xml & com.tinkerpop+gremlin-groovy-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-groovy-filename:pom.xml,master,0,0,117,117,126
alexblanquart/datagraphiti,com.tinkerpop.gremlin+gremlin-java-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml,master,0,0,1763,1763,2281
alfredas/AgentSpring,com.tinkerpop.gremlin+gremlin-groovy-filename:pom.xml & com.tinkerpop+gremlin-groovy-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-groovy-filename:pom.xml,master,22,15,189,1868,2917
alikhil/PGiraffe,org.apache.tinkerpop+gremlin-test-filename:pom.xml & com.tinkerpop+gremlin-test-filename:pom.xml & com.tinkerpop+gremlin-core-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & com.tinkerpop.gremlin+gremlin-test-filename:pom.xml & org.apache.tinkerpop+gremlin-core-filename:pom.xml,master,0,0,100,100,114
alon-strik/sdc,com.tinkerpop.gremlin+gremlin-groovy-filename:pom.xml & com.tinkerpop+gremlin-groovy-filename:pom.xml & org.apache.tinkerpop+tinkergraph-gremlin-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-groovy-filename:pom.xml & com.tinkerpop+tinkergraph-gremlin-filename:pom.xml,master,0,0,795,795,795
amcp/hanji,com.tinkerpop+neo4j-gremlin-extension:gradle & com.tinkerpop+gremlin-groovy-extension:gradle & org.apache.tinkerpop+gremlin-extension:gradle & com.tinkerpop+gremlin-extension:gradle & com.tinkerpop.gremlin+gremlin-groovy-extension:gradle & org.apache.tinkerpop+gremlin-groovy-extension:gradle & com.tinkerpop.gremlin+gremlin-extension:gradle & org.apache.tinkerpop+neo4j-gremlin-extension:gradle,master,0,0,888,836,888
amitex007/Atlas,com.tinkerpop.gremlin+gremlin-java-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml,master,0,1,1489,1489,1489
amitni82/scribbles,com.tinkerpop+gremlin-core-extension:gradle & com.tinkerpop+gremlin-extension:gradle & com.tinkerpop.gremlin+gremlin-extension:gradle,master,1,4,437,1362,1444
anagav/RocksTinker,org.apache.tinkerpop+gremlin-filename:pom.xml,master,0,0,1414,1407,1414
anagav/TinkerRocks,org.apache.tinkerpop+gremlin-test-filename:pom.xml & com.tinkerpop+gremlin-test-filename:pom.xml & com.tinkerpop+gremlin-core-filename:pom.xml & com.tinkerpop+gremlin-groovy-test-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-groovy-test-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & com.tinkerpop.gremlin+gremlin-test-filename:pom.xml & org.apache.tinkerpop+gremlin-core-filename:pom.xml,master,0,0,1190,1190,1407
AndrewGrebinchak/gradle_gremlin,org.apache.tinkerpop+gremlin-extension:gradle & org.apache.tinkerpop+gremlin-core-extension:gradle & com.tinkerpop+gremlin-core-extension:gradle & com.tinkerpop+gremlin-extension:gradle & com.tinkerpop+tinkergraph-gremlin-extension:gradle & com.tinkerpop.gremlin+gremlin-test-extension:gradle & org.apache.tinkerpop+gremlin-test-extension:gradle & org.apache.tinkerpop+tinkergraph-gremlin-extension:gradle & com.tinkerpop+gremlin-test-extension:gradle & com.tinkerpop.gremlin+gremlin-extension:gradle,master,0,0,379,379,379
AndrewGrebinchak/sftsrvdemo,org.apache.tinkerpop+gremlin-test-filename:pom.xml & com.tinkerpop+gremlin-test-filename:pom.xml & org.apache.tinkerpop+tinkergraph-gremlin-filename:pom.xml & com.tinkerpop+gremlin-core-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & com.tinkerpop.gremlin+gremlin-test-filename:pom.xml & org.apache.tinkerpop+gremlin-core-filename:pom.xml & com.tinkerpop+tinkergraph-gremlin-filename:pom.xml,master,0,0,379,379,379
anilpacaci/graph-benchmarking,org.apache.tinkerpop+neo4j-gremlin-filename:pom.xml & com.tinkerpop+gremlin-driver-filename:pom.xml & com.tinkerpop+neo4j-gremlin-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-driver-filename:pom.xml,master,6,2,284,337,1119
anjanikumar1802/JanusGraphWithJava,com.tinkerpop.gremlin+gremlin-java-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml,master,0,0,76,76,76
