repo,origin,default_branch,stargazers_count,forks_count,updated_days_ago,pushed_days_ago,created_days_ago
abrin/foresite-toolkit,org.apache.jena+jena-core-filename:pom.xml & com.hp.hpl.jena+jena-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,0,1503,1324,1519
absin1/Wikidata-Toolkit,org.openrdf.sesame+sesame-filename:pom.xml,master,0,0,386,436,436
acadTags/tag-relation-learning,org.apache.jena+jena-filename:pom.xml,master,1,0,36,36,62
AcandoNorway/XmlToRdf,org.openrdf.sesame+sesame-filename:pom.xml & org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,18,2,15,171,1125
acavalcanti/jboss-bpmsuite-6.3.0.GA-sources,org.apache.stanbol+org.apache.stanbol-filename:pom.xml,master,0,2,1101,1101,1101
acdh-oeaw/parthenos-nerlix,org.apache.stanbol+org.apache.stanbol-filename:pom.xml,master,0,0,257,257,802
acdh-oeaw/parthenos_lab,org.apache.stanbol+org.apache.stanbol-filename:pom.xml,master,0,0,243,243,257
acdh-oeaw/pavlov,org.openrdf.sesame+sesame-filename:pom.xml,master,0,0,419,419,485
acdh-oeaw/StanbolWrapper,org.apache.stanbol+org.apache.stanbol-filename:pom.xml,master,0,0,274,274,274
acdh/cirilo,org.openrdf.sesame+sesame-filename:build.xml & org.apache.jena+jena-filename:build.xml,master,4,1,347,728,1750
achelsau/SAD,org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml,master,0,0,1595,1595,1683
acm-utv/ontoqa,org.apache.jena+jena-core-filename:pom.xml & org.eclipse.rdf4j+rdf4j-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,1,1,57,756,924
acoburn/camel-ldpath,org.apache.stanbol+org.apache.stanbol-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.marmotta+marmotta-filename:pom.xml,master,1,0,1617,1617,1638
acoli-repo/starling-converter,org.apache.jena+jena-filename:pom.xml,master,0,0,1115,1113,1115
aconaframework/acona,org.apache.jena+jena-core-extension:gradle & org.apache.jena+jena-extension:gradle,master,2,1,41,41,1213
ACSISM2/Projet_Java_Maven,org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,0,1617,1617,1638
adelcosma/bookrecommender,org.apache.jena+jena-filename:pom.xml,master,0,0,1819,1819,1821
ademarcrotti/juma-uplift,org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,0,84,84,85
Adeurien/fusepool-prediction-reactor,org.apache.stanbol+org.apache.stanbol-filename:pom.xml,master,0,1,1814,1814,1974
Adeurien/xerox-services-api,org.apache.stanbol+org.apache.stanbol-filename:pom.xml,master,0,0,1969,1969,1969
